0.748573,0.750412
0.749279,0.501284
0.999110,0.501077
0.748573,0.750412
0.999110,0.501077
0.999455,0.750380
0.250471,0.500702
0.249682,0.749677
0.001085,0.750380
0.250471,0.500702
0.001085,0.750380
0.001517,0.499994
0.499422,0.500239
0.500149,0.750166
0.250471,0.500702
0.500149,0.750166
0.249682,0.749677
0.250471,0.500702
0.749279,0.501284
0.748573,0.750412
0.499422,0.500239
0.748573,0.750412
0.500149,0.750166
0.499422,0.500239
0.748573,0.750412
0.748355,0.998230
0.500149,0.750166
0.748355,0.998230
0.500193,0.998728
0.500149,0.750166
0.749279,0.501284
0.499422,0.500239
0.498993,0.250415
0.749279,0.501284
0.498993,0.250415
0.748953,0.250920

